sample_name,replicate,layer,Q2E,zooMS_ID,batch,plate
DC10351,1,9.2,0.403333333333333,Bison/Yak,20,2
DC10351,2,9.2,0.403333333333333,Bison/Yak,20,2
DC10351,3,9.2,0.403333333333333,Bison/Yak,20,2
DC10354,1,9.2,0.38,Bison/Yak,20,2
DC10354,2,9.2,0.38,Bison/Yak,20,2
DC10354,3,9.2,0.38,Bison/Yak,20,2
DC10355,1,9.2,0.82,Bison/Yak,20,2
DC10355,2,9.2,0.82,Bison/Yak,20,2
DC10355,3,9.2,0.82,Bison/Yak,20,2
DC10356,1,9.2,0.59,Bison/Yak,20,2
DC10356,2,9.2,0.59,Bison/Yak,20,2
DC10356,3,9.2,0.59,Bison/Yak,20,2
DC10357,1,9.2,0.453333333333333,Cervidae,20,2
DC10357,2,9.2,0.453333333333333,Cervidae,20,2
DC10357,3,9.2,0.453333333333333,Cervidae,20,2
DC10358,1,9.2,0.15,Bison/Yak,20,2
DC10358,2,9.2,0.15,Bison/Yak,20,2
DC10358,3,9.2,0.15,Bison/Yak,20,2
DC10359,1,9.2,0.106666666666667,Bison/Yak,20,2
DC10359,2,9.2,0.106666666666667,Bison/Yak,20,2
DC10359,3,9.2,0.106666666666667,Bison/Yak,20,2
DC10360,1,9.2,0.393333333333333,Bison/Yak,20,2
DC10360,2,9.2,0.393333333333333,Bison/Yak,20,2
DC10360,3,9.2,0.393333333333333,Bison/Yak,20,2
DC10361,1,9.2,0.826666666666667,Bison/Yak,20,2
DC10361,2,9.2,0.826666666666667,Bison/Yak,20,2
DC10361,3,9.2,0.826666666666667,Bison/Yak,20,2
DC10362,1,9.2,0.243333333333333,Bison/Yak,20,2
DC10362,2,9.2,0.243333333333333,Bison/Yak,20,2
DC10362,3,9.2,0.243333333333333,Bison/Yak,20,2
DC10364,1,9.2,0.466666666666667,Bison/Yak,20,2
DC10364,2,9.2,0.466666666666667,Bison/Yak,20,2
DC10364,3,9.2,0.466666666666667,Bison/Yak,20,2
DC10366,1,9.2,0.12,Ovis/Capra,20,2
DC10366,2,9.2,0.12,Ovis/Capra,20,2
DC10366,3,9.2,0.12,Ovis/Capra,20,2
DC10367,1,9.2,0.226666666666667,Bison/Yak,20,2
DC10367,2,9.2,0.226666666666667,Bison/Yak,20,2
DC10367,3,9.2,0.226666666666667,Bison/Yak,20,2
DC10368,1,9.2,0.186666666666667,Bison/Yak,20,2
DC10368,2,9.2,0.186666666666667,Bison/Yak,20,2
DC10368,3,9.2,0.186666666666667,Bison/Yak,20,2
DC10369,1,9.2,0.113333333333333,Bison/Yak,20,2
DC10369,2,9.2,0.113333333333333,Bison/Yak,20,2
DC10369,3,9.2,0.113333333333333,Bison/Yak,20,2
DC10370,1,9.2,0.216666666666667,Bison/Yak,20,2
DC10370,2,9.2,0.216666666666667,Bison/Yak,20,2
DC10370,3,9.2,0.216666666666667,Bison/Yak,20,2
DC10371,1,9.2,0.22,Cervidae/Gazella/Saiga,20,2
DC10371,2,9.2,0.22,Cervidae/Gazella/Saiga,20,2
DC10371,3,9.2,0.22,Cervidae/Gazella/Saiga,20,2
DC10373,1,9.2,0.33,Bison/Yak,20,2
DC10373,2,9.2,0.33,Bison/Yak,20,2
DC10373,3,9.2,0.33,Bison/Yak,20,2
DC10374,1,9.2,0.41,Bison/Yak,20,2
DC10374,2,9.2,0.41,Bison/Yak,20,2
DC10374,3,9.2,0.41,Bison/Yak,20,2
DC10375,1,9.2,0.323333333333333,Crocuta/Panthera,20,2
DC10375,2,9.2,0.323333333333333,Crocuta/Panthera,20,2
DC10375,3,9.2,0.323333333333333,Crocuta/Panthera,20,2
DC10376,1,9.2,0.566666666666667,Bison/Yak,20,2
DC10376,2,9.2,0.566666666666667,Bison/Yak,20,2
DC10376,3,9.2,0.566666666666667,Bison/Yak,20,2
DC10377,1,9.2,0.286666666666667,Bison/Yak,20,2
DC10377,2,9.2,0.286666666666667,Bison/Yak,20,2
DC10377,3,9.2,0.286666666666667,Bison/Yak,20,2
DC10383,1,9.2,0.093333333333333,Bison/Yak,20,2
DC10383,2,9.2,0.093333333333333,Bison/Yak,20,2
DC10383,3,9.2,0.093333333333333,Bison/Yak,20,2
DC10384,1,9.2,0.36,Bison/Yak,20,2
DC10384,2,9.2,0.36,Bison/Yak,20,2
DC10384,3,9.2,0.36,Bison/Yak,20,2
DC10387,1,9.2,0.236666666666667,Bison/Yak,20,2
DC10387,2,9.2,0.236666666666667,Bison/Yak,20,2
DC10387,3,9.2,0.236666666666667,Bison/Yak,20,2
DC10391,1,9.2,0.446666666666667,Bison/Yak,20,2
DC10391,2,9.2,0.446666666666667,Bison/Yak,20,2
DC10391,3,9.2,0.446666666666667,Bison/Yak,20,2
DC10392,1,9.2,0.386666666666667,Equidae,20,2
DC10392,2,9.2,0.386666666666667,Equidae,20,2
DC10392,3,9.2,0.386666666666667,Equidae,20,2
DC10393,1,9.2,0.126666666666667,Bison/Yak,20,2
DC10393,2,9.2,0.126666666666667,Bison/Yak,20,2
DC10393,3,9.2,0.126666666666667,Bison/Yak,20,2
DC10396,1,9.2,0.293333333333333,Cervidae/Gazella/Saiga,20,2
DC10396,2,9.2,0.293333333333333,Cervidae/Gazella/Saiga,20,2
DC10396,3,9.2,0.293333333333333,Cervidae/Gazella/Saiga,20,2
DC10397,1,9.2,0.133333333333333,Bison/Yak,20,2
DC10397,2,9.2,0.133333333333333,Bison/Yak,20,2
DC10397,3,9.2,0.133333333333333,Bison/Yak,20,2
DC10398,1,9.2,0.786666666666667,Bison/Yak,20,2
DC10398,2,9.2,0.786666666666667,Bison/Yak,20,2
DC10398,3,9.2,0.786666666666667,Bison/Yak,20,2
DC10399,1,9.2,0.446666666666667,Bison/Yak,20,2
DC10399,2,9.2,0.446666666666667,Bison/Yak,20,2
DC10399,3,9.2,0.446666666666667,Bison/Yak,20,2
DC10400,1,9.2,0.226666666666667,Bison/Yak,20,2
DC10400,2,9.2,0.226666666666667,Bison/Yak,20,2
