"layer","sample","batch","plate","Q2E","zooMS_ID","peptide","value","category"
9.3,"DC7910",16,"1",0.496666666666667,"Equidae","pep4",0.0216407807797698,"Below 0.5"
9.3,"DC7948",16,"1",0.796666666666667,"Equidae","pep4",0.0346947695935866,"Below 0.5"
9.3,"DC7849",16,"10",0.55,"Equidae","pep4",0.60340085836354,"Above 0.5"
11.2,"DC10503",20,"3",0.743333333333333,"Equidae","pep4",0.409005792368588,"Below 0.5"
11.2,"DC10501",20,"3",0.683333333333333,"Equidae","pep4",0.573125191847773,"Above 0.5"
11.2,"DC10512",20,"3",0.77,"Equidae","pep4",0.588111912926177,"Above 0.5"
11.4,"DC6985",12,"5",0.646666666666667,"Equidae","pep4",0.158042973593818,"Below 0.5"
11.4,"DC8093",16,"3",0.803333333333333,"Equidae","pep4",0.242388860247089,"Below 0.5"
11.4,"DC7803",16,"10",0.71,"Equidae","pep4",0.529413510176712,"Above 0.5"
12,"DC7246",15,"3",0.656666666666667,"Equidae","pep4",0.0459281134451489,"Below 0.5"
12,"DC8115",16,"3",0.75,"Equidae","pep4",0.292100585924726,"Below 0.5"
12,"DC9228",18,"1",0.736666666666667,"Equidae","pep4",0.548122872054572,"Above 0.5"
12,"DC9255",18,"1",0.653333333333333,"Equidae","pep4",0.630400214815423,"Above 0.5"
13,"DC9526",17,"7",0.573333333333333,"Equidae","pep4",0.0472797572879323,"Below 0.5"
13,"DC9359",18,"2",0.73,"Equidae","pep4",0.0703190575528614,"Below 0.5"
13,"DC9520",17,"7",0.5,"Equidae","pep4",0.631163776457042,"Above 0.5"
13,"DC9560",17,"7",0.46,"Equidae","pep4",0.639773537039375,"Above 0.5"
13,"DC9557",17,"7",0.503333333333333,"Equidae","pep4",0.671614130011536,"Above 0.5"
14,"DC9052",19,"4",0.443333333333333,"Equidae","pep4",0.00813161690550878,"Below 0.5"
14,"DC9571",17,"7",0.423333333333333,"Equidae","pep4",0.0133499078912773,"Below 0.5"
14,"DC8896",17,"5",0.43,"Equidae","pep4",0.0134304481337121,"Below 0.5"
14,"DC9016",19,"4",0.443333333333333,"Equidae","pep4",0.0412303868877403,"Below 0.5"
14,"DC8263",16,"5",0.506666666666667,"Equidae","pep4",0.0418894013855475,"Below 0.5"
14,"DC8969",17,"6",0.546666666666667,"Equidae","pep4",0.053186535608168,"Below 0.5"
14,"DC9280",18,"2",0.426666666666667,"Equidae","pep4",0.0551234274282604,"Below 0.5"
14,"DC9005",19,"4",0.673333333333333,"Equidae","pep4",0.0686483714052936,"Below 0.5"
14,"DC8881",17,"5",0.47,"Equidae","pep4",0.0859381000024,"Below 0.5"
14,"DC9150",19,"2",0.436666666666667,"Equidae","pep4",0.0968660982774053,"Below 0.5"
14,"DC8432",16,"6",0.703333333333333,"Equidae","pep4",0.117753579371587,"Below 0.5"
14,"DC9019",19,"4",0.733333333333334,"Equidae","pep4",0.11794242675972,"Below 0.5"
14,"DC8242",16,"4",0.703333333333333,"Equidae","pep4",0.133621409318255,"Below 0.5"
14,"DC9283",18,"2",0.79,"Equidae","pep4",0.137466856130043,"Below 0.5"
14,"DC8914",17,"6",0.523333333333333,"Equidae","pep4",0.148967743407998,"Below 0.5"
14,"DC9327",18,"2",0.643333333333334,"Equidae","pep4",0.16219820589745,"Below 0.5"
14,"DC8245",16,"4",0.656666666666667,"Equidae","pep4",0.383029348927777,"Below 0.5"
14,"DC6058",19,"1",0.633333333333333,"Equidae","pep4",0.442165016058082,"Below 0.5"
14,"DC8307",16,"5",0.896666666666667,"Equidae","pep4",0.44972061442076,"Below 0.5"
14,"DC8957",17,"6",0.463333333333333,"Equidae","pep4",0.57626858386126,"Above 0.5"
14,"DC9569",17,"7",0.42,"Equidae","pep4",0.610202886377815,"Above 0.5"
14,"DC9304",18,"2",0.556666666666667,"Equidae","pep4",0.616811678663986,"Above 0.5"
14,"DC9320",18,"2",0.61,"Equidae","pep4",0.629217117744042,"Above 0.5"
14,"DC6107",19,"3",0.603333333333333,"Equidae","pep4",0.642293866519824,"Above 0.5"
14,"DC5526",8,"D",0.583333333333333,"Equidae","pep4",0.66390890997992,"Above 0.5"
14,"DC9039",19,"4",0.646666666666667,"Equidae","pep4",0.675346297642984,"Above 0.5"
14,"DC6004",19,"1",0.52,"Equidae","pep4",0.693786927957389,"Above 0.5"
14,"DC9112",19,"2",0.58,"Equidae","pep4",0.702574211792883,"Above 0.5"
14,"DC9062",19,"4",0.413333333333333,"Equidae","pep4",0.727142980775012,"Above 0.5"
14,"DC9183",18,"1",0.513333333333333,"Equidae","pep4",0.734704484065163,"Above 0.5"
14,"DC9196",18,"1",0.44,"Equidae","pep4",0.768314179478081,"Above 0.5"
14,"DC9026",19,"4",0.53,"Equidae","pep4",0.828298154962032,"Above 0.5"
15,"DC7663",16,"8",0.506666666666667,"Equidae","pep4",0.00575275683015052,"Below 0.5"
15,"DC7645",16,"8",0.593333333333333,"Equidae","pep4",0.0236513588262683,"Below 0.5"
15,"DC8527",17,"1",0.583333333333333,"Equidae","pep4",0.0392275683327721,"Below 0.5"
15,"DC7624",16,"8",0.58,"Equidae","pep4",0.0679710138704012,"Below 0.5"
15,"DC7499",16,"11",0.52,"Equidae","pep4",0.0712022369695542,"Below 0.5"
15,"DC7625",16,"8",0.513333333333333,"Equidae","pep4",0.0802547212816641,"Below 0.5"
15,"DC8845",17,"5",0.616666666666667,"Equidae","pep4",0.0816668123181077,"Below 0.5"
15,"DC8547",17,"2",0.44,"Equidae","pep4",0.0970431225033479,"Below 0.5"
15,"DC7706",16,"11",0.576666666666667,"Equidae","pep4",0.199663843213423,"Below 0.5"
15,"DC8659",17,"3",0.4,"Equidae","pep4",0.200689528994606,"Below 0.5"
15,"DC7788",16,"9",0.456666666666667,"Equidae","pep4",0.207864221069316,"Below 0.5"
15,"DC7741",16,"9",0.486666666666667,"Equidae","pep4",0.210102726518351,"Below 0.5"
15,"DC8772",17,"4",0.66,"Equidae","pep4",0.311477348544451,"Below 0.5"
15,"DC7348",15,"4",0.346666666666667,"Equidae","pep4",0.623794195324752,"Above 0.5"
15,"DC7708",16,"11",0.68,"Equidae","pep4",0.690418784139409,"Above 0.5"
